04-10-2025 21:35:58 RAM 4255/30587MB (lfb 319x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,18%@729,6%@729,6%@729,6%@2201,85%@2201,7%@2201,7%@2201,8%@2112,6%@2112,7%@2112,6%@2112] EMC_FREQ 0% GR3D_FREQ 41% CV0@-256C CPU@51C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.062C tj@51C SOC1@47.562C CV2@-256C
04-10-2025 21:35:59 RAM 4833/30587MB (lfb 319x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,4%@2201,0%@2201,0%@2201,0%@2201,1%@2201,78%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 4% CV0@-256C CPU@50.593C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.093C tj@50.593C SOC1@47.562C CV2@-256C
04-10-2025 21:36:00 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,75%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 78% CV0@-256C CPU@50.281C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.718C tj@50.281C SOC1@47.593C CV2@-256C
04-10-2025 21:36:01 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,54%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 37% CV0@-256C CPU@50.531C Tboard@38C SOC2@46.25C Tdiode@40.25C SOC0@47.437C CV1@-256C GPU@46.687C tj@50.531C SOC1@47.562C CV2@-256C
04-10-2025 21:36:02 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2188,0%@2188,55%@2188,0%@2188,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 25% CV0@-256C CPU@50.343C Tboard@38C SOC2@46.25C Tdiode@40.25C SOC0@47.593C CV1@-256C GPU@46.781C tj@50.562C SOC1@47.843C CV2@-256C
04-10-2025 21:36:03 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 35% CV0@-256C CPU@50.437C Tboard@38C SOC2@46.312C Tdiode@40.25C SOC0@47.437C CV1@-256C GPU@46.718C tj@50.437C SOC1@47.968C CV2@-256C
04-10-2025 21:36:04 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,1%@2201,0%@2201,0%@2201,0%@2201,54%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 24% CV0@-256C CPU@50.687C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.843C tj@50.687C SOC1@47.875C CV2@-256C
04-10-2025 21:36:05 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 63% CV0@-256C CPU@50.593C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.906C tj@50.375C SOC1@47.562C CV2@-256C
04-10-2025 21:36:06 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 89% CV0@-256C CPU@50.781C Tboard@38C SOC2@46.312C Tdiode@40.25C SOC0@47.406C CV1@-256C GPU@46.593C tj@50.781C SOC1@47.562C CV2@-256C
04-10-2025 21:36:07 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 92% CV0@-256C CPU@50.5C Tboard@38C SOC2@46.406C Tdiode@40.25C SOC0@47.593C CV1@-256C GPU@46.656C tj@50.5C SOC1@47.531C CV2@-256C
04-10-2025 21:36:08 RAM 4853/30587MB (lfb 316x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 36% CV0@-256C CPU@50.906C Tboard@38C SOC2@46.468C Tdiode@40.25C SOC0@47.468C CV1@-256C GPU@46.625C tj@50.906C SOC1@47.75C CV2@-256C
