04-10-2025 19:04:08 RAM 1352/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [18%@1420,99%@1420,25%@1420,14%@1420,14%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.15C AO@39C GPU@39.5C PMIC@50C
04-10-2025 19:04:09 RAM 1372/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [4%@1420,100%@1420,0%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.3C AO@39C GPU@39.5C PMIC@50C
04-10-2025 19:04:10 RAM 1398/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [6%@1420,100%@1420,1%@1420,1%@1420,13%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@39.95C AO@39C GPU@39.5C PMIC@50C
04-10-2025 19:04:11 RAM 1439/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [5%@1420,100%@1420,0%@1420,0%@1420,0%@1420,13%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.3C AO@39.5C GPU@39.5C PMIC@50C
04-10-2025 19:04:12 RAM 1469/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [6%@1420,100%@1420,0%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.3C AO@39.5C GPU@40C PMIC@50C
04-10-2025 19:04:13 RAM 1480/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [5%@1420,100%@1420,0%@1420,0%@1420,0%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.15C AO@39.5C GPU@39.5C PMIC@50C
04-10-2025 19:04:14 RAM 1487/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [4%@1420,100%@1420,0%@1420,1%@1420,0%@1420,1%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.15C AO@39.5C GPU@39.5C PMIC@50C
04-10-2025 19:04:15 RAM 1498/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [5%@1420,100%@1420,0%@1420,14%@1420,0%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.15C AO@39C GPU@40C PMIC@50C
04-10-2025 19:04:16 RAM 1512/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [5%@1420,100%@1420,1%@1420,1%@1420,1%@1420,5%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.3C AO@39.5C GPU@40C PMIC@50C
04-10-2025 19:04:17 RAM 1545/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [4%@1420,100%@1420,0%@1420,1%@1420,0%@1420,8%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41C thermal@40.45C AO@39.5C GPU@39.5C PMIC@50C
04-10-2025 19:04:18 RAM 1565/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [7%@1420,100%@1420,1%@1420,1%@1420,1%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.3C AO@39.5C GPU@40C PMIC@50C
04-10-2025 19:04:19 RAM 1578/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [3%@1420,100%@1420,1%@1420,1%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.45C AO@39.5C GPU@39.5C PMIC@50C
04-10-2025 19:04:20 RAM 1588/6855MB (lfb 16x4MB) SWAP 82/3427MB (cached 0MB) CPU [6%@1420,100%@1420,1%@1420,0%@1420,2%@1420,12%@1420] EMC_FREQ 0% GR3D_FREQ 0% AUX@40C CPU@41.5C thermal@40.45C AO@39.5C GPU@40C PMIC@50C
