frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1920,1080,0.0151,0.0009,0.0052,0.0514,0.0001,0.0728,1841.46
1,1920,1080,0.0177,0.0008,0.0052,0.0140,0.0001,0.0379,1853.41
2,1920,1080,0.0132,0.0008,0.0052,0.0143,0.0001,0.0335,1853.93
3,1920,1080,0.0131,0.0008,0.0052,0.0139,0.0001,0.0332,1853.93
4,1920,1080,0.0133,0.0008,0.0052,0.0139,0.0001,0.0333,1853.93
5,1920,1080,0.0132,0.0008,0.0048,0.0139,0.0001,0.0328,1853.93
6,1920,1080,0.0132,0.0008,0.0048,0.0139,0.0001,0.0328,1853.93
7,1920,1080,0.0132,0.0008,0.0048,0.0139,0.0001,0.0328,1853.93
8,1920,1080,0.0133,0.0008,0.0048,0.0143,0.0001,0.0333,1853.93
9,1920,1080,0.0132,0.0008,0.0048,0.0143,0.0001,0.0332,1853.93
10,1920,1080,0.0133,0.0008,0.0049,0.0139,0.0001,0.0331,1853.93
11,1920,1080,0.0134,0.0008,0.0052,0.0139,0.0001,0.0335,1853.93
12,1920,1080,0.0135,0.0008,0.0048,0.0139,0.0001,0.0331,1853.93
13,1920,1080,0.0132,0.0008,0.0052,0.0139,0.0001,0.0332,1853.93
14,1920,1080,0.0131,0.0008,0.0047,0.0139,0.0001,0.0327,1853.93
15,1920,1080,0.0132,0.0008,0.0039,0.0138,0.0001,0.0318,1853.93
16,1920,1080,0.0131,0.0008,0.0047,0.0142,0.0001,0.0329,1853.93
17,1920,1080,0.0131,0.0008,0.0051,0.0138,0.0001,0.0330,1853.93
18,1920,1080,0.0132,0.0008,0.0051,0.0139,0.0001,0.0331,1853.93
19,1920,1080,0.0132,0.0008,0.0046,0.0139,0.0001,0.0326,1853.93
20,1920,1080,0.0132,0.0008,0.0046,0.0138,0.0001,0.0325,1853.93
21,1920,1080,0.0132,0.0008,0.0046,0.0138,0.0001,0.0326,1853.93
22,1920,1080,0.0134,0.0008,0.0046,0.0138,0.0001,0.0327,1853.93
23,1920,1080,0.0133,0.0008,0.0046,0.0138,0.0001,0.0327,1853.93
24,1920,1080,0.0136,0.0008,0.0046,0.0139,0.0001,0.0330,1853.93
25,1920,1080,0.0135,0.0008,0.0046,0.0142,0.0001,0.0332,1853.93
26,1920,1080,0.0134,0.0008,0.0046,0.0142,0.0001,0.0332,1853.93
27,1920,1080,0.0134,0.0008,0.0047,0.0142,0.0001,0.0332,1853.93
28,1920,1080,0.0133,0.0008,0.0046,0.0139,0.0001,0.0327,1853.93
29,1920,1080,0.0134,0.0008,0.0039,0.0138,0.0001,0.0320,1853.93
30,1920,1080,0.0134,0.0008,0.0046,0.0139,0.0001,0.0328,1853.93
31,1920,1080,0.0135,0.0008,0.0046,0.0138,0.0001,0.0328,1853.93
32,1920,1080,0.0134,0.0008,0.0039,0.0139,0.0001,0.0321,1853.93
33,1920,1080,0.0134,0.0008,0.0046,0.0139,0.0001,0.0329,1853.93
34,1920,1080,0.0135,0.0008,0.0046,0.0139,0.0001,0.0329,1853.93
35,1920,1080,0.0135,0.0008,0.0046,0.0138,0.0001,0.0329,1853.93
36,1920,1080,0.0135,0.0008,0.0039,0.0138,0.0001,0.0321,1853.93
37,1920,1080,0.0135,0.0008,0.0048,0.0139,0.0001,0.0331,1853.93
38,1920,1080,0.0134,0.0008,0.0046,0.0139,0.0001,0.0328,1853.93
39,1920,1080,0.0131,0.0008,0.0046,0.0138,0.0001,0.0324,1853.93
40,1920,1080,0.0131,0.0008,0.0046,0.0139,0.0001,0.0325,1853.93
41,1920,1080,0.0129,0.0008,0.0047,0.0138,0.0001,0.0323,1853.93
42,1920,1080,0.0132,0.0008,0.0046,0.0138,0.0001,0.0325,1853.93
43,1920,1080,0.0131,0.0008,0.0039,0.0142,0.0001,0.0321,1853.93
44,1920,1080,0.0132,0.0008,0.0046,0.0139,0.0001,0.0326,1853.93
45,1920,1080,0.0132,0.0008,0.0046,0.0138,0.0001,0.0326,1853.93
46,1920,1080,0.0133,0.0008,0.0046,0.0139,0.0001,0.0328,1853.93
47,1920,1080,0.0133,0.0008,0.0047,0.0139,0.0001,0.0328,1853.93
48,1920,1080,0.0133,0.0008,0.0047,0.0140,0.0001,0.0328,1853.93
49,1920,1080,0.0134,0.0008,0.0047,0.0142,0.0001,0.0332,1853.93
50,1920,1080,0.0134,0.0008,0.0039,0.0139,0.0001,0.0321,1853.93
