04-21-2025 12:34:35 RAM 3899/30587MB (lfb 17x4MB) SWAP 31/15294MB (cached 0MB) CPU [40%@1651,28%@1651,21%@1651,7%@1651,40%@2201,33%@2201,100%@2201,53%@2201,35%@1036,35%@1036,35%@1113,42%@1036] EMC_FREQ 6%@2133 GR3D_FREQ 0%@509 GR3D2_FREQ 0%@509 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.25C Tdiode@39.75C SOC0@47.156C CV1@-256C GPU@46C tj@50.781C SOC1@47.343C CV2@-256C VDD_GPU_SOC 3575mW/3575mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:35 RAM 3952/30587MB (lfb 32x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,78%@2201,0%@2201,7%@2201,14%@2201,0%@2201,100%@2201,0%@2201,20%@729,7%@729,0%@729,7%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@509 GR3D2_FREQ 0%@509 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.25C Tboard@38C SOC2@46.187C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@45.906C tj@51.25C SOC1@47.625C CV2@-256C VDD_GPU_SOC 3178mW/3376mW VDD_CPU_CV 3178mW/2979mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:35 RAM 3983/30587MB (lfb 36x4MB) SWAP 31/15294MB (cached 0MB) CPU [25%@2201,13%@1363,6%@1113,0%@1113,7%@2201,0%@2201,93%@2201,6%@2201,14%@1036,6%@1036,0%@1036,0%@1036] EMC_FREQ 5%@2133 GR3D_FREQ 72%@407 GR3D2_FREQ 30%@407 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.281C Tdiode@39.75C SOC0@47.093C CV1@-256C GPU@46.031C tj@50.531C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3310mW VDD_CPU_CV 2780mW/2912mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:35 RAM 4091/30587MB (lfb 22x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,21%@2201,7%@2201,92%@2201,0%@2201,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 15%@596 GR3D2_FREQ 0%@596 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@38C SOC2@45.968C Tdiode@39.75C SOC0@47.156C CV1@-256C GPU@46.062C tj@50.5C SOC1@47.437C CV2@-256C VDD_GPU_SOC 3178mW/3277mW VDD_CPU_CV 2780mW/2879mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:35 RAM 4160/30587MB (lfb 22x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@729,0%@729,8%@729,14%@729,15%@2201,0%@2201,83%@2201,0%@2201,8%@729,0%@729,0%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 16%@611 GR3D2_FREQ 16%@611 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.625C Tboard@38C SOC2@46.187C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@46.187C tj@50.468C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3257mW VDD_CPU_CV 2780mW/2859mW VIN_SYS_5V0 4838mW/4918mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4235/30587MB (lfb 22x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@729,12%@729,0%@963,0%@729,13%@2201,0%@2201,86%@2201,6%@2201,18%@729,6%@729,6%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@683 GR3D2_FREQ 33%@676 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.125C CV1@-256C GPU@46.062C tj@50.468C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3178mW/3244mW VDD_CPU_CV 2383mW/2780mW VIN_SYS_5V0 4838mW/4905mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1192mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4301/30587MB (lfb 21x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,18%@1431,0%@865,14%@2201,0%@2201,73%@2201,0%@2201,8%@729,0%@729,6%@729,7%@729] EMC_FREQ 4%@2133 GR3D_FREQ 24%@713 GR3D2_FREQ 20%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@38C SOC2@46C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@45.968C tj@50.562C SOC1@47.593C CV2@-256C VDD_GPU_SOC 3178mW/3234mW VDD_CPU_CV 2383mW/2723mW VIN_SYS_5V0 4838mW/4895mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1180mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4416/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@2201,6%@2201,6%@2201,0%@1783,14%@2201,0%@2201,86%@2201,0%@2201,18%@729,6%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 7%@713 GR3D2_FREQ 7%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.093C Tboard@38C SOC2@46.031C Tdiode@39.75C SOC0@47.062C CV1@-256C GPU@45.812C tj@51.093C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3178mW/3227mW VDD_CPU_CV 2383mW/2680mW VIN_SYS_5V0 4838mW/4888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1171mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4493/30587MB (lfb 1x2MB) SWAP 31/15294MB (cached 0MB) CPU [21%@1436,0%@729,7%@729,7%@729,7%@2201,0%@2201,91%@2328,0%@2201,15%@729,0%@729,13%@729,7%@729] EMC_FREQ 4%@2133 GR3D_FREQ 21%@713 GR3D2_FREQ 21%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46.062C tj@50.562C SOC1@47.406C CV2@-256C VDD_GPU_SOC 3178mW/3222mW VDD_CPU_CV 2383mW/2647mW VIN_SYS_5V0 4838mW/4882mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1164mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4573/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@2201,57%@2201,7%@2201,0%@2201,20%@2201,0%@2201,93%@2201,0%@1998,14%@729,6%@729,13%@729,18%@729] EMC_FREQ 3%@2133 GR3D_FREQ 9%@713 GR3D2_FREQ 2%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.406C Tboard@38C SOC2@46.156C Tdiode@39.75C SOC0@47.062C CV1@-256C GPU@46.125C tj@51.406C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3217mW VDD_CPU_CV 2383mW/2621mW VIN_SYS_5V0 4939mW/4888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1168mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4659/30587MB (lfb 13x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,92%@2201,7%@2201,0%@2201,15%@2201,0%@2201,84%@2201,0%@2201,21%@729,0%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 14%@713 GR3D2_FREQ 28%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.5C Tboard@38C SOC2@46.125C Tdiode@39.75C SOC0@47.093C CV1@-256C GPU@46.187C tj@51.5C SOC1@47.375C CV2@-256C VDD_GPU_SOC 3178mW/3214mW VDD_CPU_CV 2780mW/2635mW VIN_SYS_5V0 5040mW/4902mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1181mW NC 0mW/0mW
