04-21-2025 12:18:30 RAM 4271/30587MB (lfb 95x4MB) SWAP 31/15294MB (cached 0MB) CPU [46%@1267,38%@1267,38%@1267,38%@1267,41%@2035,33%@2035,38%@2035,69%@2035,41%@2201,53%@2201,100%@2201,38%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 0%@407 GR3D2_FREQ 0%@407 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.031C Tdiode@39.5C SOC0@46.937C CV1@-256C GPU@45.75C tj@50.781C SOC1@47.218C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:18:30 RAM 4324/30587MB (lfb 95x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@1380,0%@729,0%@729,0%@729,7%@729,7%@729,7%@729,0%@729,14%@2201,0%@2201,93%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 0%@407 GR3D2_FREQ 0%@407 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.906C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@46.218C tj@50.125C SOC1@47.343C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4838mW/4888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1158mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4336/30587MB (lfb 95x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,0%@2201,0%@2201,15%@729,7%@729,7%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2388] EMC_FREQ 4%@2133 GR3D_FREQ 0%@407 GR3D2_FREQ 0%@407 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.906C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@45.906C tj@50.125C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4838mW/4871mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1141mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4409/30587MB (lfb 95x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@729,0%@729,7%@729,0%@729,7%@729,7%@729,0%@729,0%@729,8%@2201,0%@2201,81%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 10%@305 GR3D2_FREQ 10%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.625C Tboard@38C SOC2@46.093C Tdiode@39.5C SOC0@47.031C CV1@-256C GPU@45.718C tj@50.625C SOC1@47.25C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2680mW VIN_SYS_5V0 4737mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1133mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4496/30587MB (lfb 81x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,7%@729,8%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,84%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@38C SOC2@45.937C Tdiode@39.5C SOC0@46.968C CV1@-256C GPU@45.875C tj@50.562C SOC1@47.218C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2621mW VIN_SYS_5V0 4838mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1128mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4551/30587MB (lfb 81x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@2201,7%@2201,0%@729,0%@729,7%@729,0%@729,7%@729,7%@729,15%@2201,0%@2201,71%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 49%@305 GR3D2_FREQ 49%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.968C Tdiode@39.75C SOC0@46.937C CV1@-256C GPU@46.187C tj@50.125C SOC1@47.5C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2581mW VIN_SYS_5V0 4838mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1124mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4617/30587MB (lfb 81x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@902,7%@2201,0%@2201,0%@2201,8%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,80%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 70%@305 GR3D2_FREQ 70%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.968C Tboard@38C SOC2@45.937C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@46.062C tj@50.062C SOC1@47.218C CV2@-256C VDD_GPU_SOC 2780mW/3121mW VDD_CPU_CV 2383mW/2553mW VIN_SYS_5V0 4737mW/4823mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1122mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4667/30587MB (lfb 81x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@1868,0%@729,0%@729,0%@729,7%@729,0%@729,7%@729,0%@729,7%@2201,0%@2201,54%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 52%@305 GR3D2_FREQ 52%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.031C Tboard@38C SOC2@46C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46.312C tj@50.031C SOC1@47.218C CV2@-256C VDD_GPU_SOC 2780mW/3078mW VDD_CPU_CV 2383mW/2531mW VIN_SYS_5V0 4737mW/4812mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1108mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4729/30587MB (lfb 79x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@1806,0%@2201,0%@956,0%@729,0%@729,7%@729,0%@729,0%@729,15%@2201,0%@2201,66%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 24%@305 GR3D2_FREQ 24%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.218C Tboard@38C SOC2@45.937C Tdiode@39.75C SOC0@46.937C CV1@-256C GPU@45.968C tj@49.906C SOC1@47.125C CV2@-256C VDD_GPU_SOC 2780mW/3045mW VDD_CPU_CV 1986mW/2471mW VIN_SYS_5V0 4737mW/4804mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1097mW NC 0mW/0mW
04-21-2025 12:18:31 RAM 4812/30587MB (lfb 65x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,7%@2201,0%@2201,14%@729,0%@729,0%@729,7%@729,7%@2201,0%@2201,85%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 9%@305 GR3D2_FREQ 9%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.218C Tboard@38C SOC2@46C Tdiode@39.5C SOC0@47C CV1@-256C GPU@46.062C tj@49.906C SOC1@47.218C CV2@-256C VDD_GPU_SOC 2780mW/3018mW VDD_CPU_CV 1986mW/2422mW VIN_SYS_5V0 4737mW/4797mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1098mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 4881/30587MB (lfb 56x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,20%@729,0%@729,7%@729,14%@729,8%@2201,0%@2201,83%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 29%@305 GR3D2_FREQ 29%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.968C Tboard@38C SOC2@46C Tdiode@39.5C SOC0@47.093C CV1@-256C GPU@45.906C tj@49.968C SOC1@47.25C CV2@-256C VDD_GPU_SOC 2780mW/2997mW VDD_CPU_CV 2383mW/2419mW VIN_SYS_5V0 4838mW/4801mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1099mW NC 0mW/0mW
