04-21-2025 12:21:04 RAM 4295/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,13%@2201,14%@2201,100%@2201,31%@729,20%@729,25%@729,14%@729,21%@729,20%@729,20%@729,25%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.187C Tboard@37C SOC2@45.656C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.593C tj@49.937C SOC1@46.937C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4327/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [64%@2201,50%@2201,53%@2201,100%@2201,58%@1958,53%@1881,46%@1881,50%@1881,58%@1958,53%@1958,53%@1958,53%@1958] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@37C SOC2@45.781C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.375C tj@50.125C SOC1@46.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4332/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,7%@729,14%@729,0%@729,0%@729,7%@729,0%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@37C SOC2@45.75C Tdiode@39.25C SOC0@46.625C CV1@-256C GPU@45.5C tj@49.937C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/3045mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4341/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [13%@2201,0%@2201,6%@2201,100%@2201,13%@729,0%@729,0%@729,6%@729,13%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.906C Tboard@37C SOC2@45.75C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.781C tj@49.906C SOC1@46.968C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1083mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4356/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [13%@2201,0%@2201,0%@2201,100%@2201,12%@729,0%@729,0%@729,6%@729,12%@729,0%@729,6%@729,6%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.718C Tdiode@39.5C SOC0@46.687C CV1@-256C GPU@45.687C tj@49.843C SOC1@46.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2939mW VIN_SYS_5V0 4636mW/4716mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1068mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4362/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,13%@729,0%@729,0%@729,0%@729,13%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.968C Tboard@37C SOC2@45.687C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.906C tj@49.812C SOC1@46.843C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2912mW VIN_SYS_5V0 4737mW/4720mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1074mW NC 0mW/0mW
04-21-2025 12:21:04 RAM 4375/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,0%@729,7%@729,0%@729,0%@729,15%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.937C Tboard@37C SOC2@45.593C Tdiode@39.5C SOC0@46.531C CV1@-256C GPU@45.531C tj@49.937C SOC1@47.156C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2837mW VIN_SYS_5V0 4636mW/4708mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1065mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4389/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,100%@2201,15%@729,0%@729,15%@729,7%@729,15%@729,7%@729,20%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.75C Tboard@37C SOC2@45.687C Tdiode@39.5C SOC0@46.687C CV1@-256C GPU@45.468C tj@49.75C SOC1@46.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2780mW VIN_SYS_5V0 4636mW/4699mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1058mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4402/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,0%@2083,100%@2201,15%@729,0%@729,0%@729,0%@729,8%@729,7%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.781C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.968C tj@49.843C SOC1@46.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2736mW VIN_SYS_5V0 4636mW/4692mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1052mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4420/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,7%@729,7%@729,0%@729,0%@729,7%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.875C Tboard@37C SOC2@45.656C Tdiode@39.25C SOC0@46.625C CV1@-256C GPU@45.625C tj@49.875C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2700mW VIN_SYS_5V0 4636mW/4686mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1048mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4430/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,100%@2201,14%@729,0%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.875C Tboard@37C SOC2@45.562C Tdiode@39.5C SOC0@46.687C CV1@-256C GPU@45.687C tj@49.875C SOC1@47.062C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2671mW VIN_SYS_5V0 4636mW/4681mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1044mW NC 0mW/0mW
