04-21-2025 12:26:17 RAM 3944/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [50%@1651,42%@1651,38%@1651,30%@1651,41%@2201,53%@2201,100%@2201,66%@2201,46%@1355,30%@1190,35%@1190,30%@1190] EMC_FREQ 5%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.031C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.593C tj@51.031C SOC1@47.625C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:26:17 RAM 4000/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,7%@729,8%@729,21%@2201,0%@2201,100%@2201,0%@2201,8%@729,0%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.468C tj@51.312C SOC1@47.562C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4838mW/4888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1158mW NC 0mW/0mW
04-21-2025 12:26:17 RAM 4011/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,20%@729,7%@729,7%@2201,0%@2201,100%@2201,0%@2201,8%@729,14%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.406C tj@51.312C SOC1@47.5C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4838mW/4871mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1141mW NC 0mW/0mW
04-21-2025 12:26:17 RAM 4090/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@1866,13%@883,6%@883,0%@883,7%@2201,6%@2201,78%@2201,0%@2201,25%@729,0%@729,0%@729,7%@729] EMC_FREQ 4%@2133 GR3D_FREQ 29%@305 GR3D2_FREQ 29%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.187C tj@51.25C SOC1@47.781C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2680mW VIN_SYS_5V0 4737mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1133mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4158/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,0%@729,0%@1013,0%@2201,15%@2201,7%@2201,84%@2201,8%@2201,8%@729,0%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 36%@305 GR3D2_FREQ 36%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.406C tj@50.718C SOC1@47.75C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2621mW VIN_SYS_5V0 4838mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1128mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4223/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@729,8%@729,8%@729,0%@729,15%@2201,0%@2355,80%@2411,7%@2201,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 36%@305 GR3D2_FREQ 36%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.031C tj@50.593C SOC1@47.531C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2383mW/2581mW VIN_SYS_5V0 4838mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1124mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4286/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,7%@1538,7%@1024,7%@729,8%@2201,0%@2201,76%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 67%@305 GR3D2_FREQ 67%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.5C tj@50.468C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/3121mW VDD_CPU_CV 2383mW/2553mW VIN_SYS_5V0 4838mW/4838mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1122mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4347/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@729,0%@729,6%@729,12%@2201,0%@2201,60%@2201,6%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 57%@305 GR3D2_FREQ 42%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.656C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.531C tj@50.656C SOC1@47.781C CV2@-256C VDD_GPU_SOC 2780mW/3078mW VDD_CPU_CV 2383mW/2531mW VIN_SYS_5V0 4737mW/4825mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1120mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4398/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@1006,7%@729,7%@729,7%@729,8%@2201,0%@2201,69%@2201,0%@2201,8%@729,7%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 38%@305 GR3D2_FREQ 38%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.5C tj@50.5C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/3045mW VDD_CPU_CV 2383mW/2515mW VIN_SYS_5V0 4737mW/4815mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1108mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4486/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [18%@2201,7%@2201,0%@2201,0%@729,7%@2201,0%@2201,92%@2201,6%@2201,13%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 26%@305 GR3D2_FREQ 26%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.5C tj@51.187C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/3018mW VDD_CPU_CV 2383mW/2502mW VIN_SYS_5V0 4838mW/4817mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:18 RAM 4552/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,6%@729,6%@729,0%@729,12%@2201,6%@2201,82%@2201,0%@2201,18%@729,6%@729,0%@729,6%@729] EMC_FREQ 3%@2133 GR3D_FREQ 31%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.281C tj@50.75C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2997mW VDD_CPU_CV 2383mW/2491mW VIN_SYS_5V0 4838mW/4819mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
