04-21-2025 12:28:57 RAM 3960/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [35%@1113,21%@1113,23%@1113,23%@1190,35%@2201,100%@2201,28%@2201,31%@2201,30%@883,23%@883,28%@883,26%@883] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.562C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.343C tj@51.562C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 3993/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [53%@2112,46%@2112,37%@2112,43%@2201,53%@2201,100%@2201,46%@2201,46%@2201,56%@2112,46%@2112,43%@2112,46%@1913] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.156C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.062C tj@51.156C SOC1@47.75C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 4001/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,7%@729,7%@2201,100%@2201,0%@2065,0%@2201,14%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.562C Tboard@38C SOC2@46.281C Tdiode@39.75C SOC0@47.156C CV1@-256C GPU@46.281C tj@51.062C SOC1@47.718C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/3045mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 4008/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,13%@2201,100%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.375C Tboard@38C SOC2@46.375C Tdiode@39.75C SOC0@47.281C CV1@-256C GPU@46.375C tj@50.906C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1083mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 4019/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [26%@729,0%@729,0%@729,13%@729,21%@2201,100%@2201,0%@2201,0%@2201,14%@729,0%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.312C tj@51.312C SOC1@47.437C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2939mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1068mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 4025/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,7%@729,14%@2201,100%@2201,0%@2201,0%@2201,8%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.281C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.468C tj@51.281C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2912mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1074mW NC 0mW/0mW
04-21-2025 12:28:57 RAM 4034/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,7%@729,0%@2201,100%@2201,7%@2201,0%@2201,14%@729,7%@729,0%@729,13%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.312C Tdiode@39.75C SOC0@47.281C CV1@-256C GPU@46.093C tj@51.125C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2837mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1065mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4055/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,0%@729,0%@729,21%@2201,100%@2201,7%@2201,0%@2201,15%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.906C Tboard@38C SOC2@46.312C Tdiode@39.75C SOC0@47.218C CV1@-256C GPU@46C tj@51.218C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2780mW VIN_SYS_5V0 4636mW/4724mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1058mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4065/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,18%@729,7%@729,7%@729,7%@2201,100%@2201,7%@2201,0%@2201,14%@729,0%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.281C tj@50.843C SOC1@47.687C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2736mW VIN_SYS_5V0 4636mW/4714mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1052mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4085/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,13%@729,7%@729,21%@2201,100%@2201,0%@2201,0%@2201,15%@729,7%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.5C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.031C tj@50.843C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2700mW VIN_SYS_5V0 4636mW/4706mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1048mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4097/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,6%@729,0%@729,0%@729,7%@2201,100%@2201,0%@2201,0%@2201,14%@729,7%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.406C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.125C tj@51.406C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2671mW VIN_SYS_5V0 4636mW/4700mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1044mW NC 0mW/0mW
