04-21-2025 12:36:50 RAM 3932/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [42%@2201,23%@2201,100%@2201,29%@2201,37%@729,27%@729,29%@806,27%@729,44%@729,29%@729,33%@729,29%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@38C SOC2@46.062C Tdiode@39.5C SOC0@46.875C CV1@-256C GPU@46C tj@50.562C SOC1@47.156C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3947/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [61%@2201,53%@2201,100%@2201,50%@2201,57%@1804,46%@1804,46%@1804,46%@1804,57%@1728,53%@1651,50%@1651,50%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.125C Tdiode@39.5C SOC0@46.968C CV1@-256C GPU@46.156C tj@50.5C SOC1@47.156C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3949/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@2201,7%@2201,100%@2201,7%@2201,16%@729,0%@729,0%@729,0%@729,18%@729,0%@729,8%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.187C Tboard@38C SOC2@45.906C Tdiode@39.5C SOC0@46.875C CV1@-256C GPU@46.093C tj@50.468C SOC1@47.187C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 3178mW/3045mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3958/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@2201,0%@2201,100%@2201,0%@2201,16%@729,0%@729,0%@729,0%@729,21%@729,7%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@38C SOC2@46.031C Tdiode@39.5C SOC0@46.906C CV1@-256C GPU@45.625C tj@50.562C SOC1@47.156C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2979mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3972/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@2201,0%@2201,100%@2201,7%@2201,21%@729,7%@729,0%@729,0%@729,9%@729,7%@729,15%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.25C Tboard@38C SOC2@45.968C Tdiode@39.5C SOC0@46.875C CV1@-256C GPU@45.718C tj@50.562C SOC1@47.375C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2939mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1088mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3978/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,0%@2201,100%@2201,0%@2201,8%@729,21%@729,0%@729,0%@729,15%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.906C Tdiode@39.5C SOC0@46.812C CV1@-256C GPU@46.125C tj@50.125C SOC1@47.375C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2912mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1091mW NC 0mW/0mW
04-21-2025 12:36:50 RAM 3984/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [26%@2201,0%@2201,100%@2201,7%@2201,21%@729,7%@729,0%@729,7%@729,21%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.031C Tdiode@39.5C SOC0@46.875C CV1@-256C GPU@45.656C tj@50.531C SOC1@47.125C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2893mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1093mW NC 0mW/0mW
04-21-2025 12:36:51 RAM 3999/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [9%@2201,7%@2201,100%@2201,7%@2201,15%@729,0%@729,7%@729,0%@729,15%@729,7%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.218C Tboard@38C SOC2@45.937C Tdiode@39.5C SOC0@46.843C CV1@-256C GPU@45.875C tj@50.218C SOC1@47.406C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2879mW VIN_SYS_5V0 4636mW/4724mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1083mW NC 0mW/0mW
04-21-2025 12:36:51 RAM 4016/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,0%@2201,23%@729,5%@729,6%@729,6%@729,7%@729,6%@729,6%@729,6%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.156C Tboard@38C SOC2@45.906C Tdiode@39.5C SOC0@47.062C CV1@-256C GPU@45.875C tj@50.156C SOC1@47.343C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2868mW VIN_SYS_5V0 4636mW/4714mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1074mW NC 0mW/0mW
04-21-2025 12:36:51 RAM 4034/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,7%@2201,100%@2201,0%@2201,7%@729,0%@729,7%@729,0%@729,7%@729,13%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.937C Tdiode@39.5C SOC0@47.125C CV1@-256C GPU@46.031C tj@50.531C SOC1@47.375C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2819mW VIN_SYS_5V0 4636mW/4706mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1068mW NC 0mW/0mW
04-21-2025 12:36:51 RAM 4046/30587MB (lfb 77x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,100%@2201,0%@2201,21%@729,6%@729,7%@729,0%@729,20%@729,7%@729,13%@729,18%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.156C Tboard@38C SOC2@45.843C Tdiode@39.5C SOC0@47.062C CV1@-256C GPU@45.875C tj@50.156C SOC1@47.281C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2780mW VIN_SYS_5V0 4636mW/4700mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1062mW NC 0mW/0mW
