frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1654,1080,0.0138,0.0007,0.0066,0.0490,0.0001,0.0703,1839.46
1,1654,1080,0.0142,0.0008,0.0049,0.0141,0.0002,0.0341,1849.01
2,1654,1080,0.0126,0.0007,0.0053,0.0142,0.0002,0.0330,1849.27
3,1654,1080,0.0125,0.0007,0.0051,0.0143,0.0001,0.0327,1849.27
4,1654,1080,0.0126,0.0007,0.0045,0.0141,0.0001,0.0321,1849.27
5,1654,1080,0.0125,0.0007,0.0049,0.0140,0.0001,0.0322,1849.27
6,1654,1080,0.0125,0.0007,0.0044,0.0141,0.0001,0.0318,1849.27
7,1654,1080,0.0124,0.0007,0.0048,0.0144,0.0001,0.0325,1849.27
8,1654,1080,0.0125,0.0007,0.0040,0.0140,0.0001,0.0314,1849.27
9,1654,1080,0.0127,0.0007,0.0049,0.0141,0.0001,0.0325,1849.27
10,1654,1080,0.0127,0.0007,0.0044,0.0141,0.0002,0.0321,1849.27
11,1654,1080,0.0127,0.0007,0.0045,0.0140,0.0001,0.0320,1849.27
12,1654,1080,0.0127,0.0007,0.0049,0.0140,0.0002,0.0324,1849.27
13,1654,1080,0.0128,0.0007,0.0048,0.0140,0.0001,0.0325,1849.27
14,1654,1080,0.0126,0.0007,0.0044,0.0144,0.0002,0.0323,1849.27
15,1654,1080,0.0127,0.0007,0.0053,0.0141,0.0002,0.0329,1849.27
16,1654,1080,0.0126,0.0007,0.0048,0.0141,0.0001,0.0324,1849.27
17,1654,1080,0.0126,0.0007,0.0048,0.0142,0.0001,0.0325,1849.27
18,1654,1080,0.0125,0.0007,0.0042,0.0144,0.0002,0.0320,1849.27
19,1654,1080,0.0126,0.0007,0.0042,0.0141,0.0002,0.0317,1849.27
20,1654,1080,0.0126,0.0007,0.0048,0.0141,0.0002,0.0324,1849.27
21,1654,1080,0.0127,0.0007,0.0047,0.0140,0.0002,0.0322,1849.27
22,1654,1080,0.0127,0.0007,0.0041,0.0146,0.0002,0.0322,1849.27
23,1654,1080,0.0127,0.0007,0.0040,0.0141,0.0002,0.0317,1849.27
24,1654,1080,0.0128,0.0007,0.0046,0.0142,0.0002,0.0325,1849.27
25,1654,1080,0.0128,0.0007,0.0046,0.0142,0.0002,0.0325,1849.27
26,1654,1080,0.0126,0.0007,0.0046,0.0140,0.0002,0.0321,1849.27
27,1654,1080,0.0125,0.0007,0.0046,0.0143,0.0001,0.0323,1849.27
28,1654,1080,0.0125,0.0007,0.0043,0.0140,0.0002,0.0317,1849.27
29,1654,1080,0.0124,0.0007,0.0039,0.0140,0.0002,0.0313,1849.27
30,1654,1080,0.0124,0.0007,0.0040,0.0141,0.0001,0.0314,1849.27
31,1654,1080,0.0124,0.0007,0.0047,0.0144,0.0002,0.0324,1849.27
32,1654,1080,0.0124,0.0007,0.0048,0.0141,0.0002,0.0321,1849.27
33,1654,1080,0.0125,0.0007,0.0047,0.0140,0.0002,0.0320,1849.27
34,1654,1080,0.0125,0.0007,0.0047,0.0140,0.0002,0.0321,1849.27
35,1654,1080,0.0126,0.0007,0.0039,0.0143,0.0001,0.0316,1849.27
36,1654,1080,0.0126,0.0007,0.0047,0.0140,0.0002,0.0322,1849.27
37,1654,1080,0.0125,0.0007,0.0046,0.0143,0.0002,0.0324,1849.27
38,1654,1080,0.0126,0.0007,0.0047,0.0140,0.0001,0.0322,1849.27
39,1654,1080,0.0126,0.0007,0.0046,0.0139,0.0001,0.0320,1849.27
40,1654,1080,0.0128,0.0007,0.0046,0.0139,0.0001,0.0322,1849.27
41,1654,1080,0.0127,0.0007,0.0047,0.0145,0.0001,0.0326,1849.27
42,1654,1080,0.0126,0.0007,0.0047,0.0142,0.0001,0.0323,1849.27
43,1654,1080,0.0127,0.0007,0.0047,0.0140,0.0001,0.0323,1849.27
44,1654,1080,0.0128,0.0007,0.0047,0.0140,0.0001,0.0323,1849.27
45,1654,1080,0.0127,0.0007,0.0040,0.0140,0.0002,0.0316,1849.27
46,1654,1080,0.0128,0.0007,0.0046,0.0140,0.0001,0.0322,1849.27
47,1654,1080,0.0128,0.0007,0.0039,0.0140,0.0001,0.0316,1849.27
48,1654,1080,0.0127,0.0007,0.0047,0.0143,0.0001,0.0325,1849.27
49,1654,1080,0.0127,0.0007,0.0039,0.0139,0.0001,0.0313,1849.27
50,1654,1080,0.0124,0.0007,0.0039,0.0143,0.0001,0.0314,1849.27
51,1654,1080,0.0126,0.0007,0.0046,0.0139,0.0001,0.0320,1849.27
52,1654,1080,0.0126,0.0007,0.0047,0.0139,0.0002,0.0322,1849.27
53,1654,1080,0.0126,0.0007,0.0047,0.0141,0.0002,0.0322,1849.27
54,1654,1080,0.0126,0.0007,0.0039,0.0141,0.0002,0.0315,1849.27
55,1654,1080,0.0127,0.0007,0.0039,0.0141,0.0001,0.0316,1849.27
56,1654,1080,0.0126,0.0007,0.0048,0.0141,0.0002,0.0324,1849.27
57,1654,1080,0.0126,0.0007,0.0039,0.0142,0.0002,0.0316,1849.27
58,1654,1080,0.0127,0.0007,0.0046,0.0145,0.0002,0.0326,1849.27
59,1654,1080,0.0127,0.0007,0.0047,0.0146,0.0002,0.0328,1849.27
60,1654,1080,0.0128,0.0007,0.0046,0.0142,0.0002,0.0325,1849.27
61,1654,1080,0.0128,0.0007,0.0046,0.0142,0.0002,0.0325,1849.27
62,1654,1080,0.0129,0.0007,0.0048,0.0141,0.0002,0.0327,1849.27
63,1654,1080,0.0128,0.0007,0.0047,0.0142,0.0002,0.0326,1849.27
64,1654,1080,0.0129,0.0007,0.0046,0.0142,0.0002,0.0326,1849.27
65,1654,1080,0.0127,0.0007,0.0047,0.0142,0.0002,0.0325,1849.49
66,1654,1080,0.0128,0.0007,0.0040,0.0142,0.0002,0.0318,1849.49
67,1654,1080,0.0128,0.0007,0.0047,0.0143,0.0002,0.0327,1849.49
68,1654,1080,0.0128,0.0007,0.0039,0.0142,0.0002,0.0318,1849.49
69,1654,1080,0.0128,0.0007,0.0047,0.0142,0.0002,0.0327,1849.49
70,1654,1080,0.0130,0.0007,0.0046,0.0145,0.0002,0.0330,1849.49
71,1654,1080,0.0130,0.0007,0.0046,0.0145,0.0002,0.0329,1849.49
72,1654,1080,0.0129,0.0007,0.0047,0.0141,0.0002,0.0325,1849.49
73,1654,1080,0.0130,0.0007,0.0047,0.0142,0.0002,0.0327,1849.49
74,1654,1080,0.0129,0.0007,0.0046,0.0142,0.0002,0.0326,1849.49
75,1654,1080,0.0130,0.0007,0.0046,0.0145,0.0002,0.0330,1849.49
76,1654,1080,0.0131,0.0007,0.0047,0.0145,0.0002,0.0331,1849.49
77,1654,1080,0.0130,0.0007,0.0046,0.0140,0.0002,0.0325,1849.49
78,1654,1080,0.0128,0.0007,0.0046,0.0141,0.0002,0.0324,1849.49
79,1654,1080,0.0130,0.0007,0.0039,0.0141,0.0002,0.0319,1849.49
80,1654,1080,0.0129,0.0007,0.0047,0.0141,0.0002,0.0326,1849.49
81,1654,1080,0.0128,0.0007,0.0047,0.0140,0.0002,0.0324,1849.49
82,1654,1080,0.0129,0.0007,0.0046,0.0141,0.0002,0.0324,1849.49
83,1654,1080,0.0130,0.0007,0.0047,0.0141,0.0002,0.0326,1849.49
84,1654,1080,0.0130,0.0007,0.0046,0.0145,0.0002,0.0330,1849.49
85,1654,1080,0.0129,0.0007,0.0046,0.0145,0.0002,0.0329,1849.49
86,1654,1080,0.0130,0.0007,0.0047,0.0141,0.0002,0.0326,1849.49
87,1654,1080,0.0129,0.0007,0.0047,0.0144,0.0002,0.0329,1849.49
88,1654,1080,0.0130,0.0007,0.0049,0.0141,0.0002,0.0328,1849.49
