04-21-2025 15:13:43 RAM 1557/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,25%@1420,66%@1420,58%@1420,25%@1420,100%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42.5C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 7331mW/7331mW VDD_CPU_GPU_CV 2371mW/2371mW VDD_SOC 1469mW/1469mW
04-21-2025 15:13:43 RAM 1560/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [72%@1419,66%@1420,100%@1419,63%@1420,63%@1420,63%@1419] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 7495mW/7413mW VDD_CPU_GPU_CV 2535mW/2453mW VDD_SOC 1469mW/1469mW
04-21-2025 15:13:43 RAM 1563/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,9%@1420,100%@1420,0%@1420,10%@1423,9%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 7372mW/7399mW VDD_CPU_GPU_CV 2412mW/2439mW VDD_SOC 1429mW/1455mW
04-21-2025 15:13:43 RAM 1567/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,9%@1420,100%@1420,8%@1420,9%@1417,0%@1414] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42.5C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 7290mW/7372mW VDD_CPU_GPU_CV 2290mW/2402mW VDD_SOC 1429mW/1449mW
04-21-2025 15:13:43 RAM 1570/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1421,0%@1419,100%@1420,0%@1421,16%@1420,0%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 7086mW/7314mW VDD_CPU_GPU_CV 2126mW/2346mW VDD_SOC 1429mW/1445mW
04-21-2025 15:13:43 RAM 1573/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,9%@1420,100%@1419,8%@1419,9%@1419,0%@1421] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6963mW/7256mW VDD_CPU_GPU_CV 2003mW/2289mW VDD_SOC 1429mW/1442mW
04-21-2025 15:13:43 RAM 1583/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [63%@1421,54%@1417,100%@1418,63%@1420,58%@1420,63%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 7127mW/7237mW VDD_CPU_GPU_CV 2167mW/2272mW VDD_SOC 1429mW/1440mW
04-21-2025 15:13:43 RAM 1587/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,16%@1419,100%@1419,0%@1420,0%@1421,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 7045mW/7213mW VDD_CPU_GPU_CV 2085mW/2248mW VDD_SOC 1429mW/1439mW
04-21-2025 15:13:43 RAM 1590/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,9%@1420,100%@1421,0%@1413,15%@1421,8%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@41C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6963mW/7185mW VDD_CPU_GPU_CV 2003mW/2221mW VDD_SOC 1429mW/1437mW
04-21-2025 15:13:44 RAM 1594/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,16%@1420,100%@1422,9%@1419,0%@1410,9%@1414] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6922mW/7159mW VDD_CPU_GPU_CV 1963mW/2195mW VDD_SOC 1429mW/1437mW
04-21-2025 15:13:44 RAM 1595/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,0%@1420,100%@1420,0%@1420,9%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6911mW/7136mW VDD_CPU_GPU_CV 1963mW/2174mW VDD_SOC 1429mW/1436mW
