frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1654,1080,0.0232,0.0010,0.0071,0.0736,0.0006,0.1055,1307.96
1,1654,1080,0.0606,0.0009,0.0037,0.0161,0.0037,0.0851,1318.66
2,1654,1080,0.0280,0.0009,0.0037,0.0166,0.0008,0.0500,1318.91
3,1654,1080,0.0233,0.0009,0.0034,0.0161,0.0005,0.0443,1318.91
4,1654,1080,0.0223,0.0009,0.0036,0.0161,0.0005,0.0435,1318.91
5,1654,1080,0.0224,0.0009,0.0035,0.0160,0.0005,0.0433,1318.91
6,1654,1080,0.0329,0.0009,0.0036,0.0161,0.0005,0.0539,1318.91
7,1654,1080,0.0227,0.0009,0.0036,0.0160,0.0005,0.0437,1318.91
8,1654,1080,0.0228,0.0010,0.0035,0.0161,0.0005,0.0438,1318.91
9,1654,1080,0.0222,0.0009,0.0035,0.0160,0.0004,0.0430,1318.91
10,1654,1080,0.0303,0.0009,0.0035,0.0159,0.0005,0.0512,1318.91
11,1654,1080,0.0231,0.0009,0.0035,0.0158,0.0004,0.0438,1318.91
12,1654,1080,0.0227,0.0010,0.0034,0.0158,0.0005,0.0433,1318.91
13,1654,1080,0.0222,0.0010,0.0035,0.0159,0.0005,0.0431,1318.91
14,1654,1080,0.0267,0.0009,0.0034,0.0160,0.0006,0.0476,1318.91
15,1654,1080,0.0222,0.0009,0.0034,0.0158,0.0005,0.0428,1318.91
16,1654,1080,0.0220,0.0009,0.0034,0.0158,0.0004,0.0424,1318.91
17,1654,1080,0.0236,0.0009,0.0034,0.0158,0.0003,0.0440,1318.91
18,1654,1080,0.0322,0.0009,0.0034,0.0158,0.0004,0.0527,1318.91
19,1654,1080,0.0222,0.0009,0.0034,0.0159,0.0005,0.0431,1318.91
20,1654,1080,0.0225,0.0009,0.0037,0.0160,0.0005,0.0436,1318.91
21,1654,1080,0.0223,0.0009,0.0036,0.0158,0.0005,0.0431,1318.91
22,1654,1080,0.0242,0.0009,0.0034,0.0159,0.0006,0.0449,1318.91
23,1654,1080,0.0237,0.0009,0.0035,0.0158,0.0006,0.0445,1318.91
24,1654,1080,0.0231,0.0009,0.0035,0.0160,0.0005,0.0441,1318.91
25,1654,1080,0.0240,0.0009,0.0036,0.0160,0.0006,0.0450,1318.91
26,1654,1080,0.0224,0.0009,0.0035,0.0158,0.0005,0.0431,1318.91
27,1654,1080,0.0245,0.0009,0.0035,0.0158,0.0005,0.0451,1318.91
28,1654,1080,0.0232,0.0009,0.0035,0.0159,0.0004,0.0439,1318.91
29,1654,1080,0.0218,0.0009,0.0037,0.0160,0.0005,0.0430,1318.91
30,1654,1080,0.0226,0.0015,0.0034,0.0162,0.0060,0.0496,1318.91
31,1654,1080,0.0233,0.0009,0.0034,0.0158,0.0005,0.0439,1318.91
32,1654,1080,0.0219,0.0009,0.0034,0.0158,0.0007,0.0427,1318.91
33,1654,1080,0.0220,0.0009,0.0035,0.0160,0.0005,0.0428,1318.91
34,1654,1080,0.0232,0.0009,0.0036,0.0159,0.0004,0.0440,1318.91
35,1654,1080,0.0319,0.0009,0.0034,0.0158,0.0004,0.0523,1318.91
36,1654,1080,0.0225,0.0009,0.0034,0.0158,0.0004,0.0431,1318.91
37,1654,1080,0.0227,0.0009,0.0035,0.0159,0.0005,0.0435,1318.91
38,1654,1080,0.0222,0.0009,0.0035,0.0159,0.0004,0.0429,1318.91
39,1654,1080,0.0245,0.0009,0.0035,0.0158,0.0004,0.0451,1318.91
40,1654,1080,0.0225,0.0009,0.0035,0.0163,0.0005,0.0436,1318.91
41,1654,1080,0.0235,0.0009,0.0037,0.0158,0.0004,0.0443,1318.91
42,1654,1080,0.0220,0.0009,0.0034,0.0160,0.0005,0.0429,1318.91
43,1654,1080,0.0278,0.0010,0.0094,0.0163,0.0004,0.0550,1318.91
44,1654,1080,0.0272,0.0011,0.0036,0.0159,0.0005,0.0482,1318.91
45,1654,1080,0.0227,0.0009,0.0036,0.0160,0.0005,0.0437,1318.91
46,1654,1080,0.0317,0.0009,0.0035,0.0160,0.0004,0.0525,1318.91
47,1654,1080,0.0283,0.0009,0.0034,0.0159,0.0004,0.0489,1318.91
48,1654,1080,0.0222,0.0010,0.0036,0.0159,0.0005,0.0431,1318.91
49,1654,1080,0.0227,0.0009,0.0035,0.0160,0.0003,0.0433,1318.91
50,1654,1080,0.0299,0.0009,0.0034,0.0160,0.0003,0.0506,1318.91
51,1654,1080,0.0223,0.0009,0.0035,0.0159,0.0003,0.0429,1318.91
52,1654,1080,0.0223,0.0009,0.0035,0.0159,0.0004,0.0429,1318.91
53,1654,1080,0.0223,0.0009,0.0034,0.0159,0.0004,0.0428,1318.91
54,1654,1080,0.0294,0.0009,0.0035,0.0159,0.0004,0.0500,1318.91
55,1654,1080,0.0241,0.0010,0.0040,0.0161,0.0005,0.0456,1318.91
56,1654,1080,0.0228,0.0009,0.0035,0.0161,0.0005,0.0437,1318.91
57,1654,1080,0.0222,0.0009,0.0036,0.0160,0.0005,0.0430,1318.91
58,1654,1080,0.0244,0.0009,0.0035,0.0159,0.0004,0.0450,1318.91
59,1654,1080,0.0223,0.0009,0.0034,0.0159,0.0005,0.0430,1318.91
