frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
0,1173,880,0.0166,0.0007,0.0066,0.0836,0.0043,0.1118,1305.02
1,1173,880,0.0135,0.0006,0.0034,0.0166,0.0009,0.0349,1305.41
2,1173,880,0.0171,0.0005,0.0031,0.0162,0.0007,0.0376,1305.93
3,1173,880,0.0135,0.0006,0.0031,0.0161,0.0006,0.0338,1305.93
4,1173,880,0.0134,0.0006,0.0031,0.0162,0.0006,0.0340,1305.93
5,1173,880,0.0137,0.0006,0.0030,0.0164,0.0005,0.0342,1305.93
6,1173,880,0.0134,0.0005,0.0030,0.0162,0.0006,0.0337,1305.93
7,1173,880,0.0267,0.0005,0.0030,0.0165,0.0008,0.0475,1305.93
8,1173,880,0.0135,0.0005,0.0031,0.0163,0.0006,0.0340,1305.93
9,1173,880,0.0136,0.0005,0.0032,0.0164,0.0007,0.0345,1305.93
10,1173,880,0.0135,0.0005,0.0031,0.0167,0.0007,0.0344,1305.93
11,1173,880,0.0149,0.0005,0.0031,0.0163,0.0006,0.0353,1305.93
12,1173,880,0.0132,0.0006,0.0030,0.0161,0.0005,0.0334,1305.93
13,1173,880,0.0130,0.0005,0.0029,0.0160,0.0006,0.0330,1305.93
14,1173,880,0.0130,0.0005,0.0031,0.0160,0.0005,0.0332,1305.93
15,1173,880,0.0132,0.0005,0.0030,0.0160,0.0005,0.0334,1305.93
16,1173,880,0.0178,0.0010,0.0047,0.0161,0.0007,0.0403,1305.93
17,1173,880,0.0131,0.0005,0.0031,0.0159,0.0006,0.0331,1305.93
18,1173,880,0.0130,0.0005,0.0030,0.0172,0.0005,0.0342,1305.93
19,1173,880,0.0129,0.0005,0.0030,0.0159,0.0005,0.0329,1305.93
20,1173,880,0.0131,0.0006,0.0031,0.0162,0.0005,0.0334,1305.93
21,1173,880,0.0202,0.0005,0.0031,0.0192,0.0005,0.0436,1305.93
22,1173,880,0.0129,0.0005,0.0030,0.0161,0.0005,0.0330,1305.93
23,1173,880,0.0130,0.0005,0.0030,0.0160,0.0005,0.0331,1305.93
24,1173,880,0.0132,0.0005,0.0030,0.0162,0.0005,0.0333,1305.93
25,1173,880,0.0132,0.0005,0.0030,0.0162,0.0006,0.0335,1305.93
26,1173,880,0.0250,0.0005,0.0030,0.0168,0.0009,0.0462,1305.93
27,1173,880,0.0130,0.0005,0.0030,0.0161,0.0005,0.0331,1305.93
28,1173,880,0.0128,0.0005,0.0030,0.0160,0.0006,0.0329,1305.93
29,1173,880,0.0128,0.0006,0.0030,0.0162,0.0005,0.0331,1305.93
30,1173,880,0.0130,0.0005,0.0030,0.0161,0.0005,0.0331,1305.93
31,1173,880,0.0169,0.0006,0.0033,0.0160,0.0005,0.0372,1305.93
32,1173,880,0.0130,0.0005,0.0030,0.0160,0.0006,0.0330,1305.93
33,1173,880,0.0131,0.0005,0.0030,0.0160,0.0005,0.0331,1305.93
34,1173,880,0.0129,0.0005,0.0030,0.0160,0.0006,0.0329,1305.93
35,1173,880,0.0130,0.0005,0.0030,0.0160,0.0005,0.0330,1305.93
36,1173,880,0.0166,0.0007,0.0033,0.0164,0.0005,0.0374,1305.93
37,1173,880,0.0129,0.0006,0.0029,0.0159,0.0005,0.0328,1305.93
38,1173,880,0.0142,0.0005,0.0030,0.0160,0.0005,0.0343,1305.93
39,1173,880,0.0128,0.0005,0.0030,0.0162,0.0005,0.0330,1305.93
40,1173,880,0.0130,0.0005,0.0029,0.0160,0.0005,0.0329,1305.93
41,1173,880,0.0209,0.0005,0.0031,0.0160,0.0005,0.0411,1305.93
42,1173,880,0.0129,0.0005,0.0029,0.0161,0.0005,0.0329,1305.93
43,1173,880,0.0130,0.0006,0.0030,0.0161,0.0006,0.0333,1305.93
44,1173,880,0.0129,0.0006,0.0029,0.0161,0.0006,0.0331,1305.93
45,1173,880,0.0127,0.0005,0.0030,0.0159,0.0006,0.0328,1305.93
46,1173,880,0.0131,0.0005,0.0029,0.0161,0.0006,0.0333,1305.93
